id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price
24631777,Apartment,Private room,5,3,6,7,130
24650875,Other,Entire home/apt,14,1.5,3,3,1400
24651340,House,Entire home/apt,6,1,1,2,200
24651682,Other,Entire home/apt,2,2.5,1,2,100
24654041,Apartment,Private room,3,1,1,2,104
24657937,Other,Entire home/apt,4,1,0,2,279
24670819,Other,Entire home/apt,4,1,0,1,300
24678216,Apartment,Entire home/apt,2,1,1,1,138
24678255,Apartment,Entire home/apt,2,1,0,1,156
24678282,Apartment,Entire home/apt,2,1,0,1,139
24678400,Apartment,Entire home/apt,2,1,0,1,130
24678436,Apartment,Entire home/apt,2,2.5,1,2,130
24680396,Apartment,Private room,3,1,0,1,104
24698383,Apartment,Entire home/apt,2,1,1,1,87
24722081,Other,Entire home/apt,2,1,1,1,150
24736036,House,Private room,2,2.5,1,3,86
24749696,Apartment,Private room,5,1,1,1,125
24754392,Other,Private room,2,1,1,1,169
24755998,Other,Private room,1,2,4,0,150
24758727,House,Entire home/apt,8,2,1,1,600
24760981,Other,Entire home/apt,8,1,1,1,450
24777563,House,Private room,2,1,1,1,85
24780006,Apartment,Private room,2,1,2,3,234
24782264,Apartment,Entire home/apt,6,1,2,3,300
24782542,Other,Entire home/apt,4,1.5,1,1,300
24799389,House,Private room,5,1,2,2,174
24805491,Other,Entire home/apt,4,1,2,3,350
24828324,House,Entire home/apt,4,1.5,2,4,350
24836253,House,Entire home/apt,5,1,2,2,655
24838958,House,Entire home/apt,6,1,1,1,250
24851495,Apartment,Private room,2,1,2,1,169
24853005,Apartment,Entire home/apt,2,2,2,2,140
24853898,Apartment,Entire home/apt,5,1,0,1,250
24865936,Other,Private room,2,1,1,1,225
24890095,House,Private room,2,1,1,1,69
24896331,Other,Entire home/apt,2,1,1,2,225
24896879,Apartment,Entire home/apt,4,1.5,2,3,160
24916302,Other,Private room,2,2,3,4,125
24917420,Apartment,Entire home/apt,6,1,1,1,800
24940351,Apartment,Entire home/apt,2,1,0,1,250
24960380,Apartment,Entire home/apt,2,1,0,1,137
24960542,Apartment,Entire home/apt,2,2,2,2,137
24964591,Other,Entire home/apt,6,2,3,3,930
24970612,House,Entire home/apt,6,5,1,2,300
24971376,Apartment,Shared room,2,1,1,1,45
25014588,Apartment,Entire home/apt,3,1,0,1,140
25034848,Apartment,Entire home/apt,2,1,1,1,77
25081802,Apartment,Entire home/apt,2,1,1,1,250
25098756,Apartment,Entire home/apt,2,1,1,1,148
25100083,House,Private room,2,2,3,4,164
25107798,Other,Entire home/apt,6,1,1,1,955
25137342,Apartment,Entire home/apt,2,1,0,1,172
25137590,Apartment,Entire home/apt,2,1,0,1,157
25139234,Apartment,Entire home/apt,2,1,1,2,143
25165680,Apartment,Entire home/apt,3,1,2,5,88
25171138,Other,Private room,6,2,3,3,250
25185500,House,Entire home/apt,5,1,1,2,184
25189704,Apartment,Private room,4,1,1,1,55
25209725,Apartment,Private room,2,2,4,5,195
25210300,Other,Entire home/apt,7,1,1,2,267
25213152,Other,Private room,2,1,1,1,70
25229521,Other,Entire home/apt,2,1,1,2,79
25234139,Apartment,Entire home/apt,3,1,2,2,217
25235684,Apartment,Entire home/apt,4,1,1,1,200
25254687,Other,Entire home/apt,2,2.5,2,3,214
25260993,Other,Entire home/apt,4,2,1,2,298
25279552,Other,Private room,4,1,1,2,300
25281570,Other,Private room,2,1,1,1,300
25289662,Other,Entire home/apt,2,1,1,2,165
25291283,House,Private room,2,1.5,1,1,89
25302595,House,Private room,2,1,2,2,159
25318633,House,Entire home/apt,4,1,1,1,349
25319031,Apartment,Private room,2,1,0,1,40
25323663,Apartment,Entire home/apt,2,2,1,2,78
25324336,Other,Entire home/apt,4,2,1,2,300
25324599,Other,Private room,4,1,1,1,325
25325150,House,Private room,1,1,2,2,75
25354581,Apartment,Entire home/apt,4,2,3,5,120
25356099,Other,Entire home/apt,8,1,2,2,250
25356321,Other,Entire home/apt,5,1,1,2,206
25356418,Other,Entire home/apt,4,1,1,1,249
25360678,House,Private room,2,1,2,2,120
25368785,Other,Entire home/apt,4,1,1,1,185
25368835,House,Private room,1,1,1,1,55
25372440,House,Private room,2,1,1,1,79
25376401,Other,Entire home/apt,2,1,1,2,208
25380342,Apartment,Entire home/apt,4,2,2,2,200
25402417,Other,Entire home/apt,4,1,1,1,350
25419563,Other,Entire home/apt,2,1,1,1,123
25432313,House,Private room,2,1,2,2,69
25432375,House,Private room,4,2,3,3,69
25432800,House,Entire home/apt,6,1,1,2,200
25434116,House,Private room,2,1,1,1,130
25434591,House,Private room,2,1,1,1,90
25447312,Other,Entire home/apt,2,1,1,1,250
25447328,Other,Entire home/apt,2,1,1,1,250
25447349,Other,Private room,2,1,1,2,250
25449652,Other,Entire home/apt,4,1,1,2,300
25459025,House,Private room,2,1,1,1,40
